Atlanta Hawks	82	44	38	48.1	36.7	79.7	46.0	5.6	16.6	33.8	16.8	21.7	77.4	10.2	30.3	40.6	21.4	12.5	6.7	4.2	4.2	18.5	19.0	95.8	0.8
Boston Celtics	82	56	26	48.2	33.8	77.7	43.4	5.4	15.9	34.0	18.2	24.1	75.6	10.5	29.1	39.6	18.7	15.4	7.0	4.4	4.2	20.2	20.5	91.1	-5.4
Charlotte Bobcats	82	34	48	48.3	36.0	79.2	45.5	7.0	19.6	35.9	18.2	23.3	78.0	9.8	29.8	39.6	21.7	13.2	7.3	6.0	5.3	21.1	20.0	97.3	4.0
Chicago Bulls	82	62	20	48.4	34.2	79.5	43.0	5.2	16.0	32.6	17.7	23.1	76.4	10.1	28.3	38.4	19.0	14.1	6.9	5.8	5.7	20.1	20.0	91.3	-7.3
Cleveland Cavaliers	82	19	63	48.2	39.4	83.0	47.5	8.1	19.7	41.1	17.5	23.1	75.9	10.9	32.6	43.5	24.2	13.5	7.5	6.0	4.2	21.3	20.1	104.5	9.0
Dallas Mavericks	82	57	25	48.1	36.5	81.2	45.0	6.2	18.0	34.3	16.7	22.3	75.0	10.7	30.0	40.7	20.6	13.6	7.6	3.7	4.3	20.1	19.2	96.0	-4.2
Denver Nuggets	82	50	32	48.1	38.5	83.9	45.9	7.0	20.4	34.4	18.8	24.8	75.6	10.5	30.8	41.3	22.2	13.7	7.5	6.0	4.3	22.7	21.0	102.7	-4.8
Detroit Pistons	82	30	52	48.5	37.9	78.1	48.6	6.4	17.8	35.8	18.3	23.9	76.6	10.6	30.1	40.7	23.3	14.1	6.9	4.6	4.0	18.8	19.9	100.6	3.6
Golden State Warriors	82	36	46	48.4	38.7	82.8	46.7	6.9	19.3	35.8	21.4	27.6	77.6	12.8	32.0	44.8	24.7	16.1	8.2	4.3	5.0	18.4	22.0	105.7	2.3
Houston Rockets	82	43	39	48.5	39.8	85.1	46.8	5.5	15.2	35.8	18.6	23.8	78.1	11.6	31.1	42.8	20.8	13.7	7.2	5.5	4.5	21.4	20.0	103.7	-2.2
Indiana Pacers	82	37	45	48.2	37.5	83.4	44.9	6.2	17.4	35.9	19.7	26.3	75.0	11.4	31.9	43.3	20.4	13.9	7.5	5.7	5.6	21.4	21.7	100.9	1.1
Los Angeles Clippers	82	32	50	48.4	37.1	81.6	45.5	7.1	19.5	36.5	20.4	26.4	77.1	11.1	29.4	40.5	22.3	13.7	8.0	4.9	4.9	22.1	21.1	101.8	3.1
Los Angeles Lakers	82	57	25	48.4	36.7	84.0	43.7	6.8	20.3	33.5	15.2	19.9	76.5	12.2	29.3	41.5	22.3	13.6	7.1	4.5	5.1	20.7	19.0	95.4	-6.1
Memphis Grizzlies	82	46	36	48.5	36.2	79.1	45.7	7.2	19.4	36.9	18.1	23.8	76.1	11.0	29.1	40.1	21.0	16.7	7.5	6.2	5.4	21.4	20.8	97.6	-2.3
Miami Heat	82	58	24	48.2	35.0	80.7	43.4	6.7	19.3	34.5	18.0	24.1	74.4	10.5	28.6	39.2	20.1	13.2	7.0	3.0	5.2	21.8	20.4	94.6	-7.5
Milwaukee Bucks	82	35	47	48.4	34.6	77.3	44.7	5.3	16.0	33.4	18.3	23.7	77.0	10.2	32.1	42.3	20.2	15.2	6.2	4.8	4.9	20.7	20.5	92.7	0.8
Minnesota Timberwolves	82	17	65	48.2	39.4	84.2	46.8	7.8	20.8	37.4	21.1	27.2	77.8	11.1	31.4	42.6	24.8	14.4	9.5	5.5	5.1	20.9	22.3	107.7	6.6
New Jersey Nets	82	24	58	48.8	37.4	80.5	46.5	6.2	17.0	36.4	19.4	25.8	75.1	10.4	31.4	41.8	22.2	12.3	6.8	4.6	4.7	20.0	22.0	100.4	6.2
New Orleans Hornets	82	46	36	48.4	35.1	76.9	45.7	6.8	19.0	35.7	17.0	22.0	77.0	9.4	30.0	39.3	21.2	14.5	6.1	4.8	4.4	20.4	21.0	94.0	-0.9
New York Knicks	82	42	40	48.2	39.5	83.8	47.2	6.5	17.6	37.2	20.1	26.4	76.2	11.8	32.3	44.0	20.5	15.2	7.1	4.4	5.8	20.8	21.3	105.7	-0.8
Oklahoma City Thunder	82	55	27	48.8	38.1	83.2	45.8	5.9	16.3	36.1	19.0	25.5	74.4	11.4	29.2	40.6	20.9	14.0	7.2	4.3	5.9	21.5	22.4	101.0	-3.8
Orlando Magic	82	52	30	48.4	34.9	80.1	43.6	6.3	18.0	35.0	17.6	23.7	74.3	9.8	29.9	39.7	20.1	13.9	7.4	3.8	4.7	21.8	20.0	93.7	-5.5
Philadelphia 76ers	82	41	41	48.6	36.5	81.0	45.1	5.7	16.8	34.0	18.7	24.2	77.3	10.7	31.8	42.5	21.5	14.2	7.1	4.6	4.3	18.8	19.4	97.5	-1.5
Phoenix Suns	82	40	42	48.8	40.4	85.6	47.2	7.1	19.5	36.7	18.1	24.0	75.4	12.0	32.3	44.3	23.0	14.5	7.9	4.3	4.4	21.2	20.3	105.9	0.9
Portland Trail Blazers	82	48	34	48.3	35.4	75.8	46.7	6.5	17.6	36.7	17.5	22.8	76.7	10.6	29.1	39.7	19.2	15.7	6.9	4.1	4.4	21.3	19.3	94.8	-1.5
Sacramento Kings	82	24	58	48.4	39.8	83.2	47.8	5.9	16.5	35.5	19.4	25.4	76.2	10.6	30.6	41.2	21.7	14.7	8.1	5.7	4.8	21.0	22.0	104.7	5.3
San Antonio Spurs	82	61	21	48.2	38.1	83.7	45.6	5.8	15.9	36.7	15.9	20.7	76.6	10.8	30.4	41.2	20.5	13.4	6.9	4.6	4.5	20.7	19.0	98.0	-5.7
Toronto Raptors	82	22	60	48.2	39.2	81.3	48.2	6.6	17.5	37.6	20.4	26.5	76.9	11.1	30.0	41.1	22.6	13.9	7.6	5.6	4.3	19.8	22.0	105.4	6.3
Utah Jazz	82	39	43	48.5	36.2	78.8	45.9	7.2	19.2	37.6	21.7	27.9	77.8	11.3	29.6	40.9	20.7	14.6	7.4	5.0	5.9	22.0	22.7	101.3	1.8
Washington Wizards	82	23	59	48.6	38.7	82.2	47.1	6.8	18.3	37.3	20.4	26.9	76.1	12.1	31.8	43.9	23.1	15.8	7.6	5.0	6.1	20.3	22.6	104.7	7.4
